Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,lon,lat
Moran Prairie Library,Spokane,Spokane County Library District,Library,6004 S Regal St,Spokane,,99223-6946,US,[+1] 509-893-8340,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.36859096376,47.5994448029138
Liberty Lake Municipal Library,Spokane,Liberty Lake Municipal Library,Library,23123 E. Mission Avenue,Liberty Lake,,99019,US,[+1] 509-232-2510,http://www.libertylakewa.gov/library/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.095664511737,47.6713464626151
Multimedia Resources and Training Institute,King,Multimedia Resources and Training Institute,Human Services/Non-profit (non-residential)K-12 Education,2301 S Jackson Street Suite 103,Seattle,,98144,US,[+1] 206-838-6359,http://mmrtiseattle.org/,Tigrinya,Computer,None,"Adults, Immigrants/Refugees, Low Income, Youth: Teen",Limited Users,-122.302233125517,47.599228102168
Blaine Public Library,Whatcom,Whatcom County Library System,Library,610 3rd St,Blaine,,98230-4022,US,[+1] 360-332-8146,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.749747278619,48.9947159517119
Republic Community Library,Ferry,North Central Regional Library,Library,794 S Clark Ave,Republic,,99166,US,[+1] 509-775-3328,http://www.ncrl.org/republic.htm,"English, Russian, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.737637970065,48.6457910986951
Ocean Shores Public Library,Grays Harbor,Ocean Shores Public Library,Library,573 Point Brown Ave NW,Ocean Shores,,98569,US,[+1] 360-289-3919,http://oslibrary.info/,English,Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-124.16079975326,47.0012650032513
Westport Timberland Library,Grays Harbor,Timberland Regional Library,Library,101 E. Harms Drive,Westport,,98595-1410,US,[+1] 360-268-0521,http://www.trl.org/Locations/Pages/Locations.aspx,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-124.104239999576,46.890780000097
South Park Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,8319 8th Ave S,Seattle,,98108,US,[+1] 206-615-0981,http://www.seattle.gov/parks/rectech/labs/south_park/,"English, Spanish","Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.322950919432,47.5288340426623
Fairfield Library,Spokane,Spokane County Library District,Library,305 E Main,Fairfield,,99012,US,[+1] 509-893-8320,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.170428077664,47.3853140357609
Otis Orchards Library,Spokane,Spokane County Library District,Library,22324 E Wellesley Ave,Otis Orchards,,99027-9336,US,[+1] 509-893-8390,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.105791080358,47.7003127617201
Gig Harbor Library,Pierce,Pierce County Library Sytem,Library,4424 Point Fosdick Dr NW,Gig Harbor,,98335-1700,US,[+1] 253-548-3305,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.579334747287,47.2989633264841
Douglass-Truth Branch,King,Seattle Public Library,Library,2300 E. Yesler Way,Seattle,,98122,US,[+1] 206-684-4704,http://www.spl.org/locations/douglass-truth-branch/dth-computers-and-equipment,"English, Spanish, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.301785982604,47.6016841147668
Grand Coulee Community Library,Grant,North Central Regional Library,Library,225 Federal St,Grand Coulee,,99133,US,[+1] 509-633-0972,http://www.ncrl.org/grandcoulee.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.002662057631,47.9393730351024
Ilwaco Timberland Library,Pacific,Timberland Regional Library,Library,158 1st Ave N,Ilwaco,,98624-0520,US,[+1] 360-642-3908,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-124.04330038706,46.3110251181787
Oroville Community Library,Okanogan,North Central Regional Library,Library,1276 Main St,Oroville,,Oroville,US,[+1] 509-476-2662,http://www.ncrl.org/oroville.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.436936241597,48.9371647452809
Orcas Island Library District,San Juan,Orcas Island Library District,Library,500 Rose St,Eastsound,,98245-9453,US,[+1] 360-376-5750,http://www.orcaslibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.904097918508,48.6972292176398
Ballard Neighborhood Service Center,King,Ballard Neighborhood Service Center,Government/Public Community Center,5604 22nd Ave NW,Seattle,,98107,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/ballard.htm,English,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Teen",All Public,-122.38467602138,47.6694972170832
Island Public Library,Whatcom,Whatcom County Library System,Library,2144 S Nugent Rd,Lummi Island,,98262,US,[+1] 360-758-7145,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.682792753538,48.7195503904069
Foster Library,King,King County Library System,Library,4060 S144th,Seattle,,98178-0039,US,[+1] 206-242-1640,http://www.kcls.org/foster/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.329439999756,47.6035599998942
Greenbridge Library,King,King County Library System,Library,9720 8th Ave SW,Seattle,,98106,US,[+1] 206-762-1682,http://www.kcls.org/greenbridge/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.345268202721,47.5159157728325
Wallingford Branch,King,Seattle Public Library,Library,1501 N. 45th St.,Seattle,,98103,US,[+1] 206-684-4088,http://www.spl.org/locations/wallingford-branch/wal-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.338927982414,47.6613541314108
Yesler Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,917 E Yesler Way Seattle,Seattle,,98122,US,[+1] 206-615-1579,http://www.seattle.gov/parks/rectech/labs/yesler/,"English, Vietnamese","Computer, Wi-Fi",None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.320087185901,47.6016751215465
Hoquiam Timberland Library,Grays Harbor,Hoquiam,Library,420 7th St,Hoquiam,,98550-3616,US,[+1] 360-532-1710,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.886634215179,46.9770689925367
Sammamish Library,King,King County Library System,Library,825 228th Ave NE,Redmond,,98074-6501,US,[+1] 425-836-8793,http://www.kcls.org/sammamish/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.130989999688,47.6785599997443
Coupeville Library,Island,Sno-Isle Libraries,Library,788 NW Alexander,Coupeville,,98239-0745,US,[+1] 360-678-4911,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.685579999816,48.2185700002054
Bridgeport Community Library,Douglas,North Central Regional Library,Library,1206 Columbia St,Bridgeport,,98813,US,[+1] 509-686-7281,http://www.ncrl.org/bridgeport.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.674129317772,48.0096317120061
Eatonville Library,Pierce,Pierce County Library Sytem,Library,205 Center St,Eatonville,,98328-0069,US,[+1] 253-548-3311,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.264677632375,46.8664970498005
Edmonds Library,Snohomish,Sno-Isle Libraries,Library,650 Main St,Edmonds,,98020-3097,US,[+1] 425-771-1933,http://www.sno-isle.org,"English, ASL","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.373080840182,47.81046086041
Green Lake Branch,King,Seattle Public Library,Library,7364 E. Green Lake Dr. N.,Seattle,,98115,US,[+1] 206-684-7547,http://www.spl.org/locations/green-lake-branch/glk-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.327353707897,47.6815888770701
Roy City Library,Pierce,Roy City Library,Library,122 3rd St,Roy,,98580,US,[+1] 253-843-2331,http://roylibrary.home.comcast.net/,English,Computer,"None, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.543267543588,47.0027985964742
Mukilteo Library,Snohomish,Sno-Isle Libraries,Library,4675 Harbour Pointe Blvd,Mukilteo,,98275-4725,US,[+1] 425-493-8202,http://www.sno-isle.org,"English, Japanese, Russian","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.296246158904,47.9049175166061
Parkland Spanaway Library,Pierce,Pierce County Library Sytem,Library,13718 Pacific Ave S,Tacoma,,98444-4746,US,[+1] 253-548-3304,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.434732758196,47.1321930493707
Naches Library,Yakima,Yakima Valley Libraries,Library,303 Naches Ave,Naches,,98937,US,[+1] 509-653-2005,http://www.yvl.org,"English, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.701019750111,46.7325793056513
Tonasket Community Library,Okanogan,North Central Regional Library,Library,209 A Whitcomb,Tonasket,,98855,US,[+1] 509-486-2366,http://www.ncrl.org/tonasket.htm,"English, Russian, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.436830000104,48.7085399998213
Bellingham Public Library,Whatcom,Bellingham Public Library,Library,210 Central Ave,Bellingham,,98227-9710,US,[+1] 360-778-7323,http://www.bellinghampubliclibrary.org,English,Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.478493768142,48.7539134851465
Entiat Community Library,Chelan,North Central Regional Library,Library,14138 Kinzel St,Entiat,,98822,US,[+1] 509-784-1517,http://www.ncrl.org/Entiat.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.209324423812,47.6769034092974
McCleary Timberland Library,Grays Harbor,Timberland Regional Library,Library,121 South 4th Street,McCleary,,98557-0660,US,[+1] 360-495-3368,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.266551675977,47.0548153819697
Kent Library,King,King County Library System,Library,212 2nd Ave N,Kent,,98032-4482,US,[+1] 253-859-3330,http://www.kcls.org/kent,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.2347325321,47.3828520853772
Special Technology Access Resource Center,King,Special Technology Access Resource Center,Human Services/Non-profit (non-residential)Other,2600 South Walker Street,Seattle,,98144,US,[+1] 206-325-4284,http://www.starofseattle.org,English,"Computer, Wi-Fi","Blind/LV, Deaf, Wheelchair accessible","Adults, Disabled, On-site Residents, Seniors",All Public,-122.299233681477,47.5836849102334
Terrace Heights Library,Yakima,Yakima Valley Libraries,Library,4011 Commonwealth Rd,Yakima,,98901-1248,US,[+1] 509-457-5319,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.446448663277,46.6070429435812
Port Angeles Library,Clallam,North Olympic Library System,Library,2210 S Peabody St,Port Angeles,,98362-6536,US,[+1] 360-417-8500,http://www.nols.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.438385136115,48.1060778681199
Shelton Timberland Library,Mason,Timberland Regional Library,Library,710 W Alder St,Shelton,,98584-2571,US,[+1] 360-426-1362,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.107272751367,47.2166753608032
Woodmont Library,King,King County Library System,Library,26809 Pacific Hwy S,Des Moines,,98198-9255,US,[+1] 253-839-0121,http://www.kcls.org/woodmont/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.307901372404,47.3608906414217
Cheney Library,Spokane,Spokane County Library District,Library,610 1st St,Cheney,,99004-1688,US,[+1] 509-893-8280,http://www.scld.org,English,Adaptive Laptops,"Blind/LV, Wheelchair accessible","Adults, Disabled, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.574193966099,47.4883965187359
Southwest Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,2801 SW Thistle St,Seattle,,98126,US,[+1] 206-684-7438,http://www.seattle.gov/parks/rectech/labs/southwest/,English,"Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.368956344973,47.5282634642947
Chelan County Law Library Computing Center,Chelan,Chelan County Law Library Computing Center,Justice Center,401 Washington St,Wenatchee,,98807-0880,US,[+1] 509-667-6210,http://www.co.chelan.wa.us/scj/scj_main.htm,English,Computer,None,"Adults, Immigrants/Refugees, Low Income, Seniors",Limited Users,-120.316766523426,47.4225285267969
Bellevue Library,King,King County Library System,Library,1111 110th Ave NE,Bellevue,,98004-4515,US,[+1] 425-450-1765,http://www.kcls.org/bellevue/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.193687474683,47.6204889383994
Arlington Library,Snohomish,Sno-Isle Libraries,Library,135 N Washington Ave,Arlington,,98223-1422,US,[+1] 360-435-3033,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.1187109971,48.193464989707
North Mason Timberland Library,Mason,Timberland Regional Library,Library,23081 NE State Route 3,Belfair,,98528-1179,US,[+1] 360-275-3232,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.833366240903,47.4417217054152
Algona-Pacific Library,King,King County Library System,Library,255 Ellingson Dr,Pacific,,98047-1526,US,[+1] 253-833-3554,http://www.kcls.org/algonapacific/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.233843092109,47.2715362008394
Mountain View Timberland Library,Lewis,Timberland Regional Library,Library,210 Silverbrook Road,Randle,,98377-0340,US,[+1] 360-497-2665,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.959428473181,46.5357631038208
Waterville Community Library,Douglas,North Central Regional Library,Library,105 N Chelan St,Waterville,,98858,US,[+1] 509-745-8354,http://www.ncrl.org/waterville.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.071360292366,47.6474131514084
Granite Falls Library,Snohomish,Sno-Isle Libraries,Library,815 E Galena,Granite Falls,,98252-0599,US,[+1] 360-691-6087,http://www.sno-isle.org,"English, Spanish, Italian, French, German","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.958549269993,48.0821264691429
